,complex_tag
0_2,34
18_23,33
3_26,15
3_16,12
0_15,12
5_4,11
3_3,11
5_19,11
18_0,10
19_18,10
0_14,10
19_25,9
15_13,9
17_18,9
9_11,8
7_1,8
19_5,8
19_28,7
12_16,7
19_27,7
15_28,7
3_7,7
0_6,7
3_17,6
19_13,6
3_6,6
17_21,6
19_10,6
0_27,6
14_8,6
0_12,6
14_7,6
14_9,6
5_29,6
9_3,5
3_18,5
18_25,5
18_10,5
0_24,5
0_7,5
0_4,5
9_26,5
3_28,5
5_22,5
3_21,5
3_27,4
3_12,4
0_0,4
17_26,4
19_15,4
18_6,4
7_3,4
5_12,4
17_5,4
9_4,4
3_4,4
7_22,4
19_7,4
19_17,4
15_21,4
19_14,4
19_8,4
0_5,4
4_27,4
7_20,4
14_27,4
5_25,4
0_8,4
15_17,4
3_5,4
9_5,3
17_17,3
15_2,3
19_24,3
17_27,3
5_18,3
15_3,3
19_19,3
3_22,3
4_29,3
5_11,3
3_11,3
12_17,3
9_1,3
18_7,3
3_19,3
15_25,3
19_0,3
3_14,3
13_7,3
15_16,3
3_15,3
18_29,3
18_5,3
7_12,3
3_13,3
3_1,3
12_7,3
17_25,2
18_9,2
4_25,2
19_22,2
13_17,2
10_26,2
15_24,2
10_25,2
15_26,2
13_23,2
4_3,2
4_6,2
14_13,2
3_25,2
18_27,2
5_13,2
19_3,2
17_16,2
19_12,2
18_16,2
15_4,2
5_27,2
12_19,2
15_23,2
13_20,2
3_20,2
14_26,2
0_16,2
7_24,2
7_27,2
19_29,2
19_23,2
5_24,2
0_21,2
10_3,2
19_2,2
13_5,2
3_8,2
15_18,2
7_28,2
5_20,2
13_11,2
14_2,2
14_19,2
4_17,2
4_11,2
19_20,2
12_11,2
5_8,1
9_8,1
5_2,1
3_9,1
7_2,1
7_19,1
14_0,1
3_29,1
15_6,1
13_1,1
19_16,1
12_29,1
9_28,1
17_0,1
13_16,1
9_21,1
5_1,1
3_2,1
0_28,1
9_0,1
10_27,1
12_4,1
3_0,1
15_5,1
18_20,1
5_23,1
10_5,1
0_19,1
15_15,1
10_6,1
14_16,1
13_2,1
5_5,1
5_10,1
4_1,1
5_7,1
18_18,1
12_0,1
14_15,1
19_11,1
3_23,1
10_17,1
0_26,1
5_0,1
17_10,1
15_14,1
13_27,1
7_14,1
13_25,1
17_8,1
12_9,1
18_1,1
13_22,1
7_7,1
13_15,1
14_22,1
0_29,1
9_18,1
19_21,1
9_16,1
15_11,1
5_15,1
17_15,1
10_11,1
13_13,1
5_3,1
10_1,1
9_10,1
12_8,1
18_15,1
17_7,1
15_1,1
18_11,1
15_10,1
12_25,1
5_16,1
14_21,1
15_0,1
4_10,1
14_3,1
10_29,1
18_14,1
4_26,1
14_4,1
13_21,1
7_23,1
4_4,1
14_10,1
4_19,1
4_15,1
13_18,1
18_22,1
15_27,1
7_10,1
15_12,1
10_7,1
4_24,1
9_27,1
17_23,1
15_7,1
17_4,1
4_7,1
13_26,1
10_19,1
