task,model,modality,reoriented,legend,model_accuracy,opt1_acc,opt2_acc,opt3_acc,opt4_acc,opt5_acc,choice_1_freq,choice_2_freq,choice_3_freq,choice_4_freq,choice_5_freq
same_second,vlm_qwen2.5-vl,image,0,1,0.27,0.16,0.22,0.14,0.22,0.26,0.0,0.1,0.31,0.26,0.33
same_second,vlm_qwen2.5-vl,2modality,0,1,0.27,0.16,0.22,0.14,0.22,0.26,0.0,0.07,0.19,0.41,0.33
same_second,vlm_qwen2.5-vl,image,0,0,0.29,0.16,0.22,0.14,0.22,0.26,0.01,0.35,0.29,0.14,0.21
same_second,vlm_qwen2.5-vl,2modality,0,0,0.26,0.16,0.22,0.14,0.22,0.26,0.0,0.06,0.18,0.28,0.48
same_second,vlm_qwen2.5-vl,image,1,0,0.37,0.16,0.22,0.14,0.22,0.26,0.01,0.27,0.37,0.19,0.16
same_second,vlm_qwen2.5-vl,2modality,1,0,0.3,0.16,0.22,0.14,0.22,0.26,0.01,0.03,0.16,0.33,0.47
same_second,vlm_qwen2.5-vl,image,1,1,0.37,0.16,0.22,0.14,0.22,0.26,0.0,0.07,0.32,0.3,0.31
same_second,vlm_qwen2.5-vl,2modality,1,1,0.33,0.16,0.22,0.14,0.22,0.26,0.0,0.05,0.15,0.47,0.33
same_second,vlm_phi4_multimodal,image,0,1,0.22,0.16,0.22,0.14,0.22,0.26,0.0,0.0,0.17,0.71,0.12
same_second,vlm_phi4_multimodal,2modality,0,1,0.18,0.16,0.22,0.14,0.22,0.26,0.1,0.03,0.17,0.16,0.54
same_second,vlm_phi4_multimodal,image,0,0,0.22,0.16,0.22,0.14,0.22,0.26,0.0,0.03,0.14,0.77,0.06
same_second,vlm_phi4_multimodal,2modality,0,0,0.24,0.16,0.22,0.14,0.22,0.26,0.4,0.02,0.04,0.2,0.34
same_second,vlm_phi4_multimodal,image,1,0,0.24,0.16,0.22,0.14,0.22,0.26,0.0,0.0,0.1,0.8,0.1
same_second,vlm_phi4_multimodal,2modality,1,0,0.21,0.16,0.22,0.14,0.22,0.26,0.41,0.02,0.04,0.16,0.37
same_second,vlm_phi4_multimodal,image,1,1,0.19,0.16,0.22,0.14,0.22,0.26,0.0,0.0,0.19,0.67,0.14
same_second,vlm_phi4_multimodal,2modality,1,1,0.25,0.16,0.22,0.14,0.22,0.26,0.12,0.03,0.17,0.15,0.53
diff_first,vlm_qwen2.5-vl,image,0,1,0.38,0.18,0.12,0.19,0.28,0.23,0.0,0.03,0.34,0.29,0.34
diff_first,vlm_qwen2.5-vl,2modality,0,1,0.32,0.18,0.12,0.19,0.28,0.23,0.0,0.03,0.22,0.33,0.42
diff_first,vlm_qwen2.5-vl,image,0,0,0.34,0.18,0.12,0.19,0.28,0.23,0.01,0.25,0.3,0.22,0.22
diff_first,vlm_qwen2.5-vl,2modality,0,0,0.28,0.18,0.12,0.19,0.28,0.23,0.0,0.02,0.23,0.34,0.41
diff_first,vlm_qwen2.5-vl,image,1,0,0.44,0.18,0.12,0.19,0.28,0.23,0.0,0.15,0.4,0.21,0.24
diff_first,vlm_qwen2.5-vl,2modality,1,0,0.37,0.18,0.12,0.19,0.28,0.23,0.0,0.01,0.24,0.3,0.45
diff_first,vlm_qwen2.5-vl,image,1,1,0.46,0.18,0.12,0.19,0.28,0.23,0.01,0.02,0.31,0.33,0.33
diff_first,vlm_qwen2.5-vl,2modality,1,1,0.36,0.18,0.12,0.19,0.28,0.23,0.01,0.04,0.26,0.38,0.31
diff_first,vlm_phi4_multimodal,image,0,1,0.3,0.18,0.12,0.19,0.28,0.23,0.0,0.01,0.2,0.6,0.19
diff_first,vlm_phi4_multimodal,2modality,0,1,0.14,0.18,0.12,0.19,0.28,0.23,0.15,0.05,0.1,0.21,0.49
diff_first,vlm_phi4_multimodal,image,0,0,0.35,0.18,0.12,0.19,0.28,0.23,0.0,0.02,0.11,0.81,0.06
diff_first,vlm_phi4_multimodal,2modality,0,0,0.19,0.18,0.12,0.19,0.28,0.23,0.43,0.03,0.08,0.11,0.35
diff_first,vlm_phi4_multimodal,image,1,0,0.45,0.18,0.12,0.19,0.28,0.23,0.01,0.03,0.13,0.75,0.08
diff_first,vlm_phi4_multimodal,2modality,1,0,0.19,0.18,0.12,0.19,0.28,0.23,0.39,0.03,0.07,0.08,0.43
diff_first,vlm_phi4_multimodal,image,1,1,0.29,0.18,0.12,0.19,0.28,0.23,0.0,0.01,0.2,0.59,0.2
diff_first,vlm_phi4_multimodal,2modality,1,1,0.17,0.18,0.12,0.19,0.28,0.23,0.12,0.04,0.12,0.17,0.55
