model,modality,task,reoriented,legend,accuracy,count_A,count_B,count_C,count_D,count_E,n_examples
vlm_qwen2.5-vl,img,diff_first,0,0,0.37,5,10,42,14,29,100
vlm_qwen2.5-vl,img,diff_first,0,1,0.44,8,13,18,14,47,100
vlm_qwen2.5-vl,img,diff_first,1,0,0.66,3,17,28,23,29,100
vlm_qwen2.5-vl,img,diff_first,1,1,0.65,2,21,21,21,35,100
vlm_qwen2.5-vl,img,same_second,0,0,0.3,2,29,24,10,35,100
vlm_qwen2.5-vl,img,same_second,0,1,0.33,2,27,11,6,54,100
vlm_qwen2.5-vl,img,same_second,1,0,0.37,2,20,25,17,36,100
vlm_qwen2.5-vl,img,same_second,1,1,0.43,0,26,7,17,50,100
vlm_qwen2.5-vl,multi,diff_first,0,0,0.4,4,2,35,16,43,100
vlm_qwen2.5-vl,multi,diff_first,0,1,0.37,11,3,15,14,57,100
vlm_qwen2.5-vl,multi,diff_first,1,0,0.62,4,8,22,24,42,100
vlm_qwen2.5-vl,multi,diff_first,1,1,0.64,6,10,15,23,46,100
vlm_qwen2.5-vl,multi,same_second,0,0,0.27,5,10,23,13,49,100
vlm_qwen2.5-vl,multi,same_second,0,1,0.31,5,14,9,7,65,100
vlm_qwen2.5-vl,multi,same_second,1,0,0.36,4,2,19,14,61,100
vlm_qwen2.5-vl,multi,same_second,1,1,0.38,4,8,9,13,66,100
