cluster_id,feature,importance
0,tri_1_2_4_avg_x,0.12684
0,tri_1_2_4_area_ratio_jk,0.078693
0,tri_1_2_4_count,0.072101
0,tri_1_2_4_avg_y,0.068876
0,bi_2_4_avg_x,0.050498
0,bi_1_4_avg_x,0.047358
0,tri_1_2_4_area_ratio_ij,0.046772
0,bi_1_2_avg_x,0.034128
0,tri_1_2_3_avg_x,0.02627
0,bi_1_4_area_ratio,0.021547
1,bi_1_6_avg_x,0.055791
1,tri_2_3_5_avg_x,0.04565
1,tri_1_3_6_avg_x,0.04005
1,bi_2_5_avg_x,0.036547
1,uni_6_avg_x,0.033176
1,bi_3_4_avg_x,0.030596
1,uni_2_avg_x,0.025357
1,bi_1_6_avg_y,0.024769
1,uni_1_avg_x,0.021594
1,bi_2_3_avg_x,0.020977
2,bi_1_6_avg_x,0.054605
2,tri_1_3_6_avg_x,0.043819
2,tri_2_3_5_avg_x,0.042796
2,bi_2_5_avg_x,0.03178
2,bi_3_4_avg_x,0.028585
2,uni_2_avg_x,0.028085
2,bi_1_6_avg_y,0.027694
2,uni_6_avg_x,0.02716
2,bi_2_3_avg_x,0.026925
2,uni_4_avg_x,0.023404
3,tri_2_3_6_count,0.133942
3,bi_2_6_area_ratio,0.099911
3,tri_2_3_6_area_ratio_jk,0.098316
3,tri_2_3_6_area_ratio_ij,0.090313
3,bi_2_6_count,0.080448
3,tri_2_3_6_avg_y,0.058221
3,bi_2_6_avg_y,0.057747
3,tri_2_3_6_avg_x,0.03308
3,bi_2_6_avg_x,0.032997
3,tri_2_4_6_avg_y,0.020451
4,tri_1_5_6_count,0.21486
4,tri_1_5_6_area_ratio_ij,0.173891
4,tri_1_5_6_area_ratio_jk,0.17163
4,tri_1_5_6_avg_y,0.125553
4,tri_1_5_6_avg_x,0.097819
4,tri_1_3_6_area_ratio_jk,0.011113
4,bi_1_5_area_ratio,0.007827
4,bi_1_6_area_ratio,0.007671
4,bi_5_6_area_ratio,0.006367
4,bi_1_6_count,0.006265
5,tri_1_2_5_count,0.163783
5,tri_1_2_5_area_ratio_jk,0.152234
5,tri_1_2_5_area_ratio_ij,0.148961
5,tri_1_2_5_avg_y,0.131939
5,tri_1_2_5_avg_x,0.080303
5,bi_1_5_count,0.019734
5,bi_1_2_count,0.014534
5,uni_5_count,0.011452
5,tri_1_2_3_count,0.00994
5,tri_2_3_5_count,0.009207
6,tri_2_3_4_avg_y,0.040482
6,uni_4_avg_y,0.036865
6,bi_3_4_avg_y,0.031215
6,tri_2_3_4_area_ratio_jk,0.029429
6,uni_4_aspect,0.028592
6,bi_2_4_avg_y,0.025866
6,uni_1_avg_y,0.021771
6,tri_2_3_4_area_ratio_ij,0.020146
6,tri_2_3_5_avg_y,0.018842
6,tri_2_3_5_area_ratio_jk,0.018593
7,tri_1_4_6_avg_x,0.148168
7,tri_1_4_6_area_ratio_jk,0.080756
7,tri_1_4_6_area_ratio_ij,0.069613
7,tri_1_4_6_count,0.066139
7,bi_4_6_avg_x,0.061312
7,tri_1_4_6_avg_y,0.05441
7,bi_1_4_avg_x,0.051948
7,bi_1_6_avg_x,0.041514
7,tri_1_3_6_avg_x,0.032386
7,uni_6_avg_x,0.02411
8,bi_4_6_area_ratio,0.02925
8,tri_1_2_4_area_ratio_jk,0.023973
8,tri_1_2_4_count,0.019869
8,bi_4_6_avg_y,0.018851
8,bi_4_6_count,0.018706
8,tri_1_2_4_area_ratio_ij,0.018276
8,tri_1_2_4_avg_y,0.018159
8,tri_3_5_6_area_ratio_ij,0.016696
8,tri_2_3_6_area_ratio_jk,0.015139
8,tri_2_3_6_count,0.014967
9,tri_1_4_5_count,0.188284
9,tri_1_4_5_avg_y,0.137519
9,tri_1_4_5_area_ratio_ij,0.129687
9,tri_1_4_5_area_ratio_jk,0.110192
9,tri_1_4_5_avg_x,0.085444
9,bi_4_5_avg_y,0.019376
9,bi_4_5_area_ratio,0.0182
9,bi_1_4_count,0.016812
9,bi_1_4_avg_y,0.016263
9,bi_1_4_area_ratio,0.015055
10,tri_2_4_6_area_ratio_jk,0.198396
10,tri_2_4_6_avg_y,0.158954
10,tri_2_4_6_area_ratio_ij,0.149848
10,tri_2_4_6_count,0.146106
10,tri_2_4_6_avg_x,0.090196
10,bi_4_6_avg_x,0.022651
10,tri_2_3_6_count,0.017124
10,bi_4_6_area_ratio,0.01665
10,bi_2_6_area_ratio,0.016533
10,bi_4_6_count,0.014734
11,tri_4_5_6_avg_x,0.075346
11,bi_4_5_avg_x,0.059177
11,tri_4_5_6_count,0.04106
11,bi_4_6_avg_x,0.035049
11,bi_5_6_avg_x,0.033234
11,tri_4_5_6_area_ratio_jk,0.030565
11,tri_4_5_6_avg_y,0.029725
11,uni_6_avg_x,0.025012
11,tri_1_4_5_area_ratio_jk,0.024859
11,tri_2_4_5_area_ratio_ij,0.024666
12,tri_2_5_6_area_ratio_ij,0.196322
12,tri_2_5_6_count,0.175846
12,tri_2_5_6_avg_y,0.142955
12,tri_2_5_6_area_ratio_jk,0.114303
12,tri_2_5_6_avg_x,0.085855
12,bi_2_6_area_ratio,0.022872
12,bi_5_6_area_ratio,0.020788
12,bi_2_5_avg_y,0.018847
12,bi_2_5_count,0.016257
12,bi_5_6_avg_y,0.015186
13,uni_2_total_area,0.174057
13,uni_2_aspect,0.13791
13,uni_2_count,0.121842
13,bi_2_3_count,0.104949
13,bi_2_3_area_ratio,0.078058
13,bi_2_3_avg_y,0.066496
13,uni_2_avg_y,0.03431
13,bi_1_3_count,0.015637
13,uni_1_total_area,0.013539
13,uni_2_avg_x,0.012763
14,tri_2_4_5_area_ratio_ij,0.18112
14,tri_2_4_5_count,0.159533
14,tri_2_4_5_area_ratio_jk,0.158403
14,tri_2_4_5_avg_y,0.135662
14,tri_2_4_5_avg_x,0.105991
14,bi_2_4_count,0.027829
14,bi_4_5_avg_y,0.0169
14,bi_4_5_area_ratio,0.014458
14,bi_4_5_count,0.010593
14,bi_4_5_avg_x,0.008964
15,uni_6_count,0.18522
15,uni_6_aspect,0.141059
15,bi_3_6_count,0.102776
15,bi_3_6_area_ratio,0.098333
15,uni_6_total_area,0.087719
15,bi_3_6_avg_y,0.055524
15,uni_6_avg_y,0.046998
15,uni_6_avg_x,0.027806
15,bi_3_6_avg_x,0.015492
